Command: $env:PYTHONUTF8='1'; python -m unittest discover -s tests -v
Working directory: D:\SoftWare\VScode\install\Project\agentic-payment-trust-lab
Exit code: 0
--- STDOUT ---

--- STDERR ---
test_reserved_type_key_is_rejected_for_input_mapping (trusted_execution.test_hashing.HashingTests.test_reserved_type_key_is_rejected_for_input_mapping) ... ok
test_unicode_canonical_equivalents_are_normalized_to_nfc (trusted_execution.test_hashing.HashingTests.test_unicode_canonical_equivalents_are_normalized_to_nfc) ... ok
test_unicode_key_collision_after_normalization_is_rejected (trusted_execution.test_hashing.HashingTests.test_unicode_key_collision_after_normalization_is_rejected) ... ok
test_unknown_algorithm_is_rejected (trusted_execution.test_hashing.HashingTests.test_unknown_algorithm_is_rejected) ... ok
test_verify_hash_detects_tampering (trusted_execution.test_hashing.HashingTests.test_verify_hash_detects_tampering) ... ok
test_assurance_levels_are_stable_serializable_values (trusted_execution.test_identity_assurance.IdentityAssuranceTests.test_assurance_levels_are_stable_serializable_values) ... ok
test_complete_offline_binding_is_valid_and_bound_only (trusted_execution.test_identity_assurance.IdentityAssuranceTests.test_complete_offline_binding_is_valid_and_bound_only) ... ok
test_credential_reference_alone_never_upgrades_to_verified (trusted_execution.test_identity_assurance.IdentityAssuranceTests.test_credential_reference_alone_never_upgrades_to_verified) ... ok
test_inactive_revoked_and_unsupported_statuses_are_invalid (trusted_execution.test_identity_assurance.IdentityAssuranceTests.test_inactive_revoked_and_unsupported_statuses_are_invalid) ... ok
test_missing_identity_and_executor_evidence_fails_closed (trusted_execution.test_identity_assurance.IdentityAssuranceTests.test_missing_identity_and_executor_evidence_fails_closed) ... ok
test_same_layer_conflicts_are_aggregated_in_stable_order (trusted_execution.test_identity_assurance.IdentityAssuranceTests.test_same_layer_conflicts_are_aggregated_in_stable_order) ... ok
test_contains_first_five_ui_lessons (trusted_execution.test_learning_sandbox.LearningSandboxTests.test_contains_first_five_ui_lessons) ... ok
test_marks_demo_as_fixed_and_not_real_backend (trusted_execution.test_learning_sandbox.LearningSandboxTests.test_marks_demo_as_fixed_and_not_real_backend) ... ok
test_only_one_detail_panel_is_kept_open (trusted_execution.test_learning_sandbox.LearningSandboxTests.test_only_one_detail_panel_is_kept_open) ... ok
test_sandbox_exists_and_is_offline (trusted_execution.test_learning_sandbox.LearningSandboxTests.test_sandbox_exists_and_is_offline) ... ok
test_uses_shared_learning_page_skeleton (trusted_execution.test_learning_sandbox.LearningSandboxTests.test_uses_shared_learning_page_skeleton) ... ok
test_authority_and_agent_cannot_be_swapped_at_execution (trusted_execution.test_payment_binding.PaymentExecutionBindingTests.test_authority_and_agent_cannot_be_swapped_at_execution) ... ok
test_critical_payment_fields_cannot_change_silently (trusted_execution.test_payment_binding.PaymentExecutionBindingTests.test_critical_payment_fields_cannot_change_silently) ... ok
test_execution_must_bind_the_validated_request_and_order (trusted_execution.test_payment_binding.PaymentExecutionBindingTests.test_execution_must_bind_the_validated_request_and_order) ... ok
test_invalid_p3_identity_is_denied_before_callback (trusted_execution.test_payment_binding.PaymentExecutionBindingTests.test_invalid_p3_identity_is_denied_before_callback) ... ok
test_missing_continuous_references_fail_closed (trusted_execution.test_payment_binding.PaymentExecutionBindingTests.test_missing_continuous_references_fail_closed) ... ok
test_missing_p3_executor_evidence_is_indeterminate_before_callback (trusted_execution.test_payment_binding.PaymentExecutionBindingTests.test_missing_p3_executor_evidence_is_indeterminate_before_callback) ... ok
test_p4_missing_invalid_and_safely_blocked_paths_gate_callback (trusted_execution.test_payment_binding.PaymentExecutionBindingTests.test_p4_missing_invalid_and_safely_blocked_paths_gate_callback) ... ok
test_reference_collision_or_execution_before_request_is_invalid (trusted_execution.test_payment_binding.PaymentExecutionBindingTests.test_reference_collision_or_execution_before_request_is_invalid) ... ok
test_request_must_bind_the_current_order_and_authority_version (trusted_execution.test_payment_binding.PaymentExecutionBindingTests.test_request_must_bind_the_current_order_and_authority_version) ... ok
test_upstream_non_allow_decision_blocks_even_a_valid_payment_binding (trusted_execution.test_payment_binding.PaymentExecutionBindingTests.test_upstream_non_allow_decision_blocks_even_a_valid_payment_binding) ... ok
test_valid_continuous_binding_is_the_only_path_that_executes (trusted_execution.test_payment_binding.PaymentExecutionBindingTests.test_valid_continuous_binding_is_the_only_path_that_executes) ... ok

----------------------------------------------------------------------
Ran 226 tests in 4.601s

OK
